Token_Name,txhash,timestamp,from_account,to_account,quantity
0x,0xcf5c218e44d0bfbee53cd2fe9427addbc0f5d241e7d2ff40a8021106a401c537,2017-08-15 15:09:11,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xec0d9b5136da2a49fa9e31cfb66f1ff7f2db63ce,39441.5038875082
0x,0xede4811cc770302f94b39446299e3b5856bb640a4ddd69e9c48a7a0cfe328bd7,2017-08-15 15:09:11,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,413.481250000086
0x,0xede4811cc770302f94b39446299e3b5856bb640a4ddd69e9c48a7a0cfe328bd7,2017-08-15 15:09:11,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xd0a36977fc6ef3955c9d2103683e39e0e7d62249,413.481250000086
0x,0xf224ba7d902834155b89a8d8901583d84b67e90330cba6644ebc61488c576406,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,39440.2043750082
0x,0xf224ba7d902834155b89a8d8901583d84b67e90330cba6644ebc61488c576406,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xdf587f6e2e289550740062b52a0b54f0dee41875,39440.2043750082
0x,0x82d66ca90593fc14d9192384f0da07f28363b1d4212a20ab6ff1be04aa6b67c2,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,35441.2500000074
0x,0x82d66ca90593fc14d9192384f0da07f28363b1d4212a20ab6ff1be04aa6b67c2,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x0064e1735741be3df9c3aea4643ace26f3ca307c,35441.2500000074
0x,0x2b0dbca9052c8b77d42f9c746b259483b698476687413ae645a538ad206ebb24,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,11813.7500000025
0x,0x2b0dbca9052c8b77d42f9c746b259483b698476687413ae645a538ad206ebb24,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x2b6bbe19e572167fda26cd6ab3adb6f3fda10494,11813.7500000025
0x,0x42ed744d9a287e9f68172ee9ba7036d1ebbfb3e80b300f4f3ab541e846c5e04a,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,30125.0625000063
0x,0x42ed744d9a287e9f68172ee9ba7036d1ebbfb3e80b300f4f3ab541e846c5e04a,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xacacfed21166c63a1bf42d01658776ee6988968c,30125.0625000063
0x,0xa9c62acbc19be7848673d3fcdff792f38c67952d3267f7a55f40ee0d76a3fd5d,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,39441.5038875082
0x,0xa9c62acbc19be7848673d3fcdff792f38c67952d3267f7a55f40ee0d76a3fd5d,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xb56a0ef8868eb50b07a3fdb427adeedd7146c5d9,39441.5038875082
0x,0xe697bcfa9f1ed2e0ab8c72264ac773c32efa4dbbc36448ba0b652ed90b1fbc9f,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,34023.6000000071
0x,0xe697bcfa9f1ed2e0ab8c72264ac773c32efa4dbbc36448ba0b652ed90b1fbc9f,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xcf83d7b2e6f2260765851da09326b2b7b083d6dc,34023.6000000071
0x,0x96e6c8233a001548f1ac5bce2657baa5184f181458898c00a2e5fc3e70e68bba,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,34850.5625000073
0x,0x96e6c8233a001548f1ac5bce2657baa5184f181458898c00a2e5fc3e70e68bba,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x1320b94c4e010704c42c926e65d3f58cc26d7853,34850.5625000073
0x,0x41b0b6cb2d2b9db617d2e138bb13d7edaa5215782e594908b1e656f11d906c59,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,5906.87500000123
0x,0x41b0b6cb2d2b9db617d2e138bb13d7edaa5215782e594908b1e656f11d906c59,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xf32eedf12503efa923e101b6eb12d35c78bfb8e0,5906.87500000123
0x,0xfe00ae31641148561d6bebde58b3c2533dc978d24c186403710c2e901e4b3f59,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,8860.31250000185
0x,0xfe00ae31641148561d6bebde58b3c2533dc978d24c186403710c2e901e4b3f59,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x0290ffc144bc4853204fd6a2c16ee962fb6396d8,8860.31250000185
0x,0xde4344836b92a1feebf850ea79f40a487613258facb9e6fdaa743332da204c70,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,29652.5125000062
0x,0xde4344836b92a1feebf850ea79f40a487613258facb9e6fdaa743332da204c70,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x05c312d2134e5c632296c124a975e7cb9f79f519,29652.5125000062
0x,0x3fe5d18f6e9e38bcdd1d5512f42362a1e79c8cc443fede532ec0ccaf37678bcd,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,2033.65436625042
0x,0x3fe5d18f6e9e38bcdd1d5512f42362a1e79c8cc443fede532ec0ccaf37678bcd,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x3b54cff7bc192500b39488326501e85d2e7225f0,2033.65436625042
0x,0xe6aaf94836ba54941d9c75ec1b179e58058b45363a81275b9fa3b32debde3c87,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,39441.5038875082
0x,0xe6aaf94836ba54941d9c75ec1b179e58058b45363a81275b9fa3b32debde3c87,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xe861d66727db7c3920d3f809d0106e19b45f99d3,39441.5038875082
0x,0xba7020adff1bbc3c46ac721c4e6c36dce092603a591c8fbe2971e766dc556214,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,21855.4375000046
0x,0xba7020adff1bbc3c46ac721c4e6c36dce092603a591c8fbe2971e766dc556214,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x0ae4ffdff57270c06e4751d1afa9efef8a5bdc9c,21855.4375000046
0x,0xbcbc3872caaffb78abcf2299afc9e6c6915f7322cd8f04120f8d23c0bc7f0672,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,39441.5038875082
0x,0xbcbc3872caaffb78abcf2299afc9e6c6915f7322cd8f04120f8d23c0bc7f0672,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x02e1fd821962753b8c917a61f65103d5bf5de6b8,39441.5038875082
0x,0xd183d01408e790803845597b2a2481828eacb68f0937a6c7076f0726a7ac55aa,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,9451.00000000197
0x,0xd183d01408e790803845597b2a2481828eacb68f0937a6c7076f0726a7ac55aa,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xa9ab401832934fbdb7b31d24d96900b9fc684569,9451.00000000197
0x,0xb64ffb77f8196ab060fcc0de58a507e305fc9345fc1f4137a9f0c10f78cf57d5,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,39441.5038875082
0x,0xb64ffb77f8196ab060fcc0de58a507e305fc9345fc1f4137a9f0c10f78cf57d5,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xaf642a9c8b04e5d98da0e4d97882eec1622d15ed,39441.5038875082
0x,0x55a1a4e9c8d945c47663ea34bfb33e6b7e73342d725804302811ccccd47f4e3e,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,39441.5038875082
0x,0x55a1a4e9c8d945c47663ea34bfb33e6b7e73342d725804302811ccccd47f4e3e,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x4a470942dd7a44c6574666f8bda47ce33c19a601,39441.5038875082
0x,0x3b6ef0f72e27182cbce34d49b5e9617ecd30ee7c0d39cabfda58258d8fb4dbd2,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,2894.3687500006
0x,0x3b6ef0f72e27182cbce34d49b5e9617ecd30ee7c0d39cabfda58258d8fb4dbd2,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x98a03f82de47d58fd22e6d520002da73cb7fefe0,2894.3687500006
0x,0x7a32c01c0833f3ac65a20ad0c3fa674e737a3143a168eb69105747807964abc6,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,39441.5038875082
0x,0x7a32c01c0833f3ac65a20ad0c3fa674e737a3143a168eb69105747807964abc6,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xef2680bbaacd8ef7a073ac7a17af37eb829bb043,39441.5038875082
0x,0x131de7579559394913914aafece47155cf057a459d4fb716e740b0346dde7002,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,38365.153125008
0x,0x131de7579559394913914aafece47155cf057a459d4fb716e740b0346dde7002,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x168cf068d9257a55ec78756e87d370e97fc90eb4,38365.153125008
0x,0xb27edc13e65ed3ad7db0f648a77df9fa02748c2763c27beec3b8976418b3a923,2017-08-15 15:09:03,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,28943.687500006
0x,0xb27edc13e65ed3ad7db0f648a77df9fa02748c2763c27beec3b8976418b3a923,2017-08-15 15:09:03,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xbff7c05522c6994c41b6ce0f3f980c8aa6820f88,28943.687500006
0x,0x4f7aca880f58cac1e5ec3c6213bf4d3006079be3ae8e9547c829d1ad059d059a,2017-08-15 15:08:41,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,39441.5038875082
0x,0x4f7aca880f58cac1e5ec3c6213bf4d3006079be3ae8e9547c829d1ad059d059a,2017-08-15 15:08:41,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0xcb8e8a8589d9c3c16f5c2f15559d44e2d2da5174,39441.5038875082
0x,0x6f4301133b1af6906189f3c0f1df94244c453026dfbee73736ad80c56ea36be3,2017-08-15 15:08:41,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,21264.7500000044
0x,0x6f4301133b1af6906189f3c0f1df94244c453026dfbee73736ad80c56ea36be3,2017-08-15 15:08:41,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x00b16179691eae18d2951d9ddb55c668f16d4361,21264.7500000044
0x,0x9ed5f7f2df74d71c78832b603e4933b20fe73d1f006bbcc47641a4d9fe581a71,2017-08-15 15:08:41,0x7f33036d984f67a864c7f413012c31329d4193a2,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,34850.5625000073
0x,0x9ed5f7f2df74d71c78832b603e4933b20fe73d1f006bbcc47641a4d9fe581a71,2017-08-15 15:08:41,0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x2730bbb1a1dc9061a1c689bf89280c7ce89d5d9f,34850.5625000073
